segment_id,asset_name,source_row,translation_ru
gameplay:GameplayStrings:14:on,GameplayStrings,14,Вкл.
gameplay:GameplayStrings:15:off,GameplayStrings,15,Выкл.
gameplay:GameplayStrings:16:back,GameplayStrings,16,Назад
gameplay:GameplayStrings:17:climb,GameplayStrings,17,Забраться
gameplay:GameplayStrings:18:close,GameplayStrings,18,Закрыть
gameplay:GameplayStrings:19:continue,GameplayStrings,19,Продолжить
gameplay:GameplayStrings:20:read,GameplayStrings,20,Читать
gameplay:GameplayStrings:21:continueWithMin,GameplayStrings,21,Продолжить (+{0} мин.)
gameplay:GameplayStrings:22:crawl,GameplayStrings,22,Ползти
gameplay:GameplayStrings:23:details,GameplayStrings,23,Подробности 
gameplay:GameplayStrings:24:enter,GameplayStrings,24,Войти
gameplay:GameplayStrings:25:start,GameplayStrings,25,Начать
gameplay:GameplayStrings:26:hint,GameplayStrings,26,Подсказка
gameplay:GameplayStrings:27:hintExpanded,GameplayStrings,27,Подсказка | Ты уверен?
gameplay:GameplayStrings:28:inspect,GameplayStrings,28,Осмотреть
gameplay:GameplayStrings:29:items,GameplayStrings,29,Предметы
gameplay:GameplayStrings:30:lower,GameplayStrings,30,Опустить
gameplay:GameplayStrings:31:open,GameplayStrings,31,Открыть
gameplay:GameplayStrings:32:pickUp,GameplayStrings,32,Поднять
gameplay:GameplayStrings:33:pickup,GameplayStrings,33,Поднять
gameplay:GameplayStrings:34:giveItem,GameplayStrings,34,Передать предмет
gameplay:GameplayStrings:35:press,GameplayStrings,35,Нажать
gameplay:GameplayStrings:36:move,GameplayStrings,36,Переместить
gameplay:GameplayStrings:37:pull,GameplayStrings,37,Потянуть
gameplay:GameplayStrings:38:push,GameplayStrings,38,Толкнуть
gameplay:GameplayStrings:39:view,GameplayStrings,39,Посмотреть
gameplay:GameplayStrings:40:exitLadderTop,GameplayStrings,40,Выйти
gameplay:GameplayStrings:41:give,GameplayStrings,41,Передать
gameplay:GameplayStrings:42:turn,GameplayStrings,42,Повернуть
gameplay:GameplayStrings:43:putDown,GameplayStrings,43,Положить
gameplay:GameplayStrings:44:unpin,GameplayStrings,44,Открепить
gameplay:GameplayStrings:45:putaway,GameplayStrings,45,Открепить
gameplay:GameplayStrings:46:quitToMenu,GameplayStrings,46,В меню
gameplay:GameplayStrings:47:quitLevel,GameplayStrings,47,Выйти из уровня
gameplay:GameplayStrings:48:quit,GameplayStrings,48,Выйти
gameplay:GameplayStrings:49:raise,GameplayStrings,49,Поднять
gameplay:GameplayStrings:50:skip,GameplayStrings,50,Пропустить
gameplay:GameplayStrings:51:reviewContinue,GameplayStrings,51,Далее
gameplay:GameplayStrings:52:pin,GameplayStrings,52,Закрепить
gameplay:GameplayStrings:53:putAway,GameplayStrings,53,Открепить
gameplay:GameplayStrings:54:spin,GameplayStrings,54,Крутить
gameplay:GameplayStrings:55:stand,GameplayStrings,55,Встать
gameplay:GameplayStrings:56:switch,GameplayStrings,56,Переключить
gameplay:GameplayStrings:57:touch,GameplayStrings,57,Коснуться
gameplay:GameplayStrings:58:talk,GameplayStrings,58,Поговорить
gameplay:GameplayStrings:59:flip,GameplayStrings,59,Перевернуть
gameplay:GameplayStrings:60:up,GameplayStrings,60,Вверх
gameplay:GameplayStrings:61:down,GameplayStrings,61,Вниз
gameplay:GameplayStrings:62:left,GameplayStrings,62,Влево
gameplay:GameplayStrings:63:right,GameplayStrings,63,Вправо
gameplay:GameplayStrings:64:use,GameplayStrings,64,Использовать
gameplay:GameplayStrings:65:useItem,GameplayStrings,65,Использовать предмет
gameplay:GameplayStrings:66:tradeItem,GameplayStrings,66,Обменять предмет
gameplay:GameplayStrings:67:pinItem,GameplayStrings,67,Закрепить предмет
gameplay:GameplayStrings:68:unPinItem,GameplayStrings,68,Открепить предмет
gameplay:GameplayStrings:69:walk,GameplayStrings,69,Идти
gameplay:GameplayStrings:70:dioramaVerb,GameplayStrings,70,Осмотреть
gameplay:GameplayStrings:71:wrongSubmit,GameplayStrings,71,Ничего не произошло.
gameplay:GameplayStrings:72:youFound,GameplayStrings,72,Найдено:
gameplay:GameplayStrings:73:defaultHint,GameplayStrings,73,Здесь что-то есть…
gameplay:GameplayStrings:74:defaultHintPreface,GameplayStrings,74,Подсказка:
gameplay:GameplayStrings:75:escape,GameplayStrings,75,Сбежать
gameplay:GameplayStrings:76:gamePaused,GameplayStrings,76,Игра приостановлена
gameplay:GameplayStrings:77:resumeGame,GameplayStrings,77,Продолжить игру
gameplay:GameplayStrings:78:settings,GameplayStrings,78,Настройки
gameplay:GameplayStrings:79:fullInventory,GameplayStrings,79,Инвентарь полон. Нужно что-нибудь положить.
gameplay:GameplayStrings:80:disconnectQuitToMenu,GameplayStrings,80,"(!) Вы уверены, что хотите отключиться?\nВаш напарник тоже будет отключён"
gameplay:GameplayStrings:81:disconnect,GameplayStrings,81,Отключиться
gameplay:GameplayStrings:82:connecting,GameplayStrings,82,Подключение…
gameplay:GameplayStrings:83:waitingForHost,GameplayStrings,83,Ожидание хоста…
gameplay:GameplayStrings:84:cancel,GameplayStrings,84,Отмена
gameplay:GameplayStrings:85:partnerPausedGame,GameplayStrings,85,приостановил игру.
