segment_id,asset_name,target_asset_es,cue_number,translation_ru
subtitle:Allie_MSC_Angry_Alt_:1,Allie_MSC_Angry_Alt_,Allie_MSC_Angry_Alt__es,1,[ПРОФЕССОР БОНИЛЬЯ] *Рычит*
subtitle:Allie_MSC_Annoyed:1,Allie_MSC_Annoyed,Allie_MSC_Annoyed_es,1,[ПРОФЕССОР БОНИЛЬЯ] *Раздражённо рычит*
subtitle:Allie_MSC_Bored:1,Allie_MSC_Bored,Allie_MSC_Bored_es,1,[ПРОФЕССОР БОНИЛЬЯ] *Вздыхает от скуки*
subtitle:Allie_MSC_Bye_Alt1:1,Allie_MSC_Bye_Alt1,Allie_MSC_Bye_Alt1_es,1,[ПРОФЕССОР БОНИЛЬЯ] Чао.
subtitle:Allie_MSC_Chuckle_Alt2:1,Allie_MSC_Chuckle_Alt2,Allie_MSC_Chuckle_Alt2_es,1,[ПРОФЕССОР БОНИЛЬЯ] *Хихикает*
subtitle:Allie_MSC_Confused_Alt2:1,Allie_MSC_Confused_Alt2,Allie_MSC_Confused_Alt2_es,1,[ПРОФЕССОР БОНИЛЬЯ] *Озадаченно хмыкает*
subtitle:Allie_MSC_Defiant:1,Allie_MSC_Defiant,Allie_MSC_Defiant_es,1,[ПРОФЕССОР БОНИЛЬЯ] *Вызывающе фыркает*
subtitle:Allie_MSC_Determined:1,Allie_MSC_Determined,Allie_MSC_Determined_es,1,[ПРОФЕССОР БОНИЛЬЯ] *Решительно фыркает*
subtitle:Allie_MSC_Dismayed_Alt1:1,Allie_MSC_Dismayed_Alt1,Allie_MSC_Dismayed_Alt1_es,1,[ПРОФЕССОР БОНИЛЬЯ] *Ужасается*
subtitle:Allie_MSC_Dismissive_Alt2:1,Allie_MSC_Dismissive_Alt2,Allie_MSC_Dismissive_Alt2_es,1,[ПРОФЕССОР БОНИЛЬЯ] *Пренебрежительно фыркает*
subtitle:Allie_MSC_Gasp:1,Allie_MSC_Gasp,Allie_MSC_Gasp_es,1,[ПРОФЕССОР БОНИЛЬЯ] *Ахает*
subtitle:Allie_MSC_Happy_Alt1:1,Allie_MSC_Happy_Alt1,Allie_MSC_Happy_Alt1_es,1,[ПРОФЕССОР БОНИЛЬЯ] *Радостно хмыкает*
subtitle:Allie_MSC_Horrified:1,Allie_MSC_Horrified,Allie_MSC_Horrified_es,1,[ПРОФЕССОР БОНИЛЬЯ] *Ужасается*
subtitle:Allie_MSC_Hurt_Alt:1,Allie_MSC_Hurt_Alt,Allie_MSC_Hurt_Alt_es,1,[ПРОФЕССОР БОНИЛЬЯ] *Стонет от боли*
subtitle:Allie_MSC_Inquisitive_Alt1:1,Allie_MSC_Inquisitive_Alt1,Allie_MSC_Inquisitive_Alt1_es,1,[ПРОФЕССОР БОНИЛЬЯ] *Вопросительно хмыкает*
subtitle:Allie_MSC_Investigative_Alt2:1,Allie_MSC_Investigative_Alt2,Allie_MSC_Investigative_Alt2_es,1,[ПРОФЕССОР БОНИЛЬЯ] *Заинтересованно хмыкает*
subtitle:Allie_MSC_Laugh_Alt:1,Allie_MSC_Laugh_Alt,Allie_MSC_Laugh_Alt_es,1,[ПРОФЕССОР БОНИЛЬЯ] *Смеётся*
subtitle:Allie_MSC_Namaste:1,Allie_MSC_Namaste,Allie_MSC_Namaste_es,1,[ПРОФЕССОР БОНИЛЬЯ] Намасте.
subtitle:Allie_MSC_OhHello_Alt:1,Allie_MSC_OhHello_Alt,Allie_MSC_OhHello_Alt_es,1,[ПРОФЕССОР БОНИЛЬЯ] Ола!
subtitle:Allie_MSC_Panicked:1,Allie_MSC_Panicked,Allie_MSC_Panicked_es,1,[ПРОФЕССОР БОНИЛЬЯ] *Паникует*
subtitle:Allie_MSC_Proud_Alt:1,Allie_MSC_Proud_Alt,Allie_MSC_Proud_Alt_es,1,[ПРОФЕССОР БОНИЛЬЯ] *Гордо фыркает*
subtitle:Allie_MSC_Scared_Alt2:1,Allie_MSC_Scared_Alt2,Allie_MSC_Scared_Alt2_es,1,"[ПРОФЕССОР БОНИЛЬЯ] Ай, боже мой!"
subtitle:Allie_MSC_Shocked:1,Allie_MSC_Shocked,Allie_MSC_Shocked_es,1,[ПРОФЕССОР БОНИЛЬЯ] *Удивляется*
subtitle:Allie_MSC_Surprised:1,Allie_MSC_Surprised,Allie_MSC_Surprised_es,1,[ПРОФЕССОР БОНИЛЬЯ] *Удивляется*
subtitle:Allie_MSC_Upset_Alt:1,Allie_MSC_Upset_Alt,Allie_MSC_Upset_Alt_es,1,[ПРОФЕССОР БОНИЛЬЯ] *Грустит*
subtitle:Allie_POT_BetterKeepAir:1,Allie_POT_BetterKeepAir,Allie_POT_BetterKeepAir_es,1,[ПРОФЕССОР БОНИЛЬЯ] Лучше бы воздух не застаивался!
subtitle:Allie_POT_CupOfTea:1,Allie_POT_CupOfTea,Allie_POT_CupOfTea_es,1,[АЛЛИ] Чашка чая решает любые проблемы.
subtitle:Allie_POT_DoneWithPots:1,Allie_POT_DoneWithPots,Allie_POT_DoneWithPots_es,1,"[ПРОФЕССОР БОНИЛЬЯ] Ничего страшного, я и так с этими горшками закончила."
subtitle:Allie_POT_FanMalfunction:1,Allie_POT_FanMalfunction,Allie_POT_FanMalfunction_es,1,[ГОЛОС ВЕНТИЛЯТОРА] Сбой в работе вентилятора.
subtitle:Allie_POT_FinallyPerfectTemperature:1,Allie_POT_FinallyPerfectTemperature,Allie_POT_FinallyPerfectTemperature_es,1,[ПРОФЕССОР БОНИЛЬЯ] Наконец-то! Идеальная температура!
subtitle:Allie_POT_FirstRuleBotany:1,Allie_POT_FirstRuleBotany,Allie_POT_FirstRuleBotany_es,1,[ПРОФЕССОР БОНИЛЬЯ] Первое правило ботаники: держи бензопилу поближе к сердцу.
