segment_id,asset_name,target_asset_es,line_id,speaker_locked,translation_ru
dialogue:ACR_Intro (en-US):line:08bfd7e,ACR_Intro (en-US),ACR_Intro (es),line:08bfd7e,Slip,"Привет, класс. Я преподаю искусство, меня зовут Слип. Простите, <i>профессор</i> Слип. Уже несколько лет здесь, а всё ещё не привыкаю к этому."
dialogue:ACR_Intro (en-US):line:0fbb7c3,ACR_Intro (en-US),ACR_Intro (es),line:0fbb7c3,Slip,"Я собирался начать с основ композиции, но потом мне пришла в голову лучшая идея..."
dialogue:ACR_Intro (en-US):line:05afd65,ACR_Intro (en-US),ACR_Intro (es),line:05afd65,Slip,Памятник побегу.
dialogue:ACR_Intro (en-US):line:0bd8a91,ACR_Intro (en-US),ACR_Intro (es),line:0bd8a91,Slip,"Это первое, что я закрасил, когда был студентом… И это будет отличный урок для вас."
dialogue:ACR_Intro (en-US):line:01def39,ACR_Intro (en-US),ACR_Intro (es),line:01def39,Slip,"Если хотите сдать сегодняшний урок, вам нужно найти краски, которые я спрятал, и оставить свой след на этом памятнике."
dialogue:ACR_Intro (en-US):line:0c20b50,ACR_Intro (en-US),ACR_Intro (es),line:0c20b50,Slip,"Хотя… не уверен, как директор отнесется к нашим изменениям."
dialogue:ACR_Intro (en-US):line:05e1931,ACR_Intro (en-US),ACR_Intro (es),line:05e1931,Slip,Лучше поторопитесь. Она скоро вернется…
dialogue:ACR_Outro (en-US):line:07c591b,ACR_Outro (en-US),ACR_Outro (es),line:07c591b,Slip,Отлично! Вы справились!
dialogue:ACR_Outro (en-US):line:0dafd33,ACR_Outro (en-US),ACR_Outro (es),line:0dafd33,Slip,"Не совсем понятно, что там написано… но выглядит круто!"
dialogue:ACR_Outro (en-US):line:0ba700a,ACR_Outro (en-US),ACR_Outro (es),line:0ba700a,Slip,"Если спросить меня, памятник теперь выглядит даже лучше."
dialogue:ACR_Outro (en-US):line:0d17b19,ACR_Outro (en-US),ACR_Outro (es),line:0d17b19,Slip,"Но на всякий случай, если директор будет не согласен… нам, э-э, лучше отсюда свалить."
dialogue:ACR_Outro (en-US):line:0335371,ACR_Outro (en-US),ACR_Outro (es),line:0335371,Slip,До встречи!
dialogue:BRK_Intro (en-US):line:0cca0bd,BRK_Intro (en-US),BRK_Intro (es),line:0cca0bd,Headmaster,Я искал тебя повсюду.
dialogue:BRK_Intro (en-US):line:0cab848,BRK_Intro (en-US),BRK_Intro (es),line:0cab848,Headmaster,"Познакомься с профессором Кванти — суперкомпьютером, который я разработал сам. Он обнаружил нечто шокирующее."
dialogue:BRK_Intro (en-US):line:0129a04,BRK_Intro (en-US),BRK_Intro (es),line:0129a04,Quanty,Приветствую. Мои сканеры зафиксировали невозможное: Ил Барнс жив.
dialogue:BRK_Intro (en-US):line:080c103,BRK_Intro (en-US),BRK_Intro (es),line:080c103,Quanty,Ила удерживают в плену на корабле-тюрьме с усиленной охраной. Им управляет группа ученых-антиэскапистов.
dialogue:BRK_Intro (en-US):line:091018a,BRK_Intro (en-US),BRK_Intro (es),line:091018a,Headmaster,Эти проклятые ученые…
dialogue:BRK_Intro (en-US):line:0435d17,BRK_Intro (en-US),BRK_Intro (es),line:0435d17,Quanty,"У нас мало времени, чтобы организовать спасение. Я буду поддерживать связь с директором, но кому-то нужно будет вести его."
dialogue:BRK_Intro (en-US):line:042a056,BRK_Intro (en-US),BRK_Intro (es),line:042a056,Headmaster,"Я знаю, что это большая просьба… но мне нужны твои глаза в Академии."
dialogue:BRK_Intro (en-US):line:024a2e7,BRK_Intro (en-US),BRK_Intro (es),line:024a2e7,Headmaster,"Мне нужен кто-то, кто будет следить за тем, что я упускаю из виду."
dialogue:BRK_Intro (en-US):line:07266cf,BRK_Intro (en-US),BRK_Intro (es),line:07266cf,Headmaster,"Ил — мой самый давний друг. Он спас меня больше раз, чем я могу сосчитать. Теперь… нам нужно спасти его."
dialogue:BRK_Midpoint (en-US):line:00454ce,BRK_Midpoint (en-US),BRK_Midpoint (es),line:00454ce,Headmaster,Ил… Это правда ты.
dialogue:BRK_Midpoint (en-US):line:07712ab,BRK_Midpoint (en-US),BRK_Midpoint (es),line:07712ab,Eel,Сэнди…? Ха. Ну и задержалась же ты.
dialogue:BRK_Midpoint (en-US):line:067e646,BRK_Midpoint (en-US),BRK_Midpoint (es),line:067e646,Headmaster,"Ой, не начинай, Барнс. Мы тебя отсюда вытащим."
dialogue:BRK_Midpoint (en-US):line:0120cfb,BRK_Midpoint (en-US),BRK_Midpoint (es),line:0120cfb,Eel,"Надеюсь, ты привела что-нибудь покрепче. Я уже лет пять пытаюсь открыть эту проклятую камеру."
dialogue:BRK_Midpoint (en-US):line:086ecb9,BRK_Midpoint (en-US),BRK_Midpoint (es),line:086ecb9,Headmaster,У меня есть кое-что получше оружия.
dialogue:BRK_Outro (en-US):line:0cf70cd,BRK_Outro (en-US),BRK_Outro (es),line:0cf70cd,Eel,"Да-да! Я ждал этого с того дня, как меня схватили! Гадкие антиэскаписты!"
dialogue:BRK_Outro (en-US):line:0223865,BRK_Outro (en-US),BRK_Outro (es),line:0223865,Headmaster,"Я почти забыл, каково это — быть в поле. Сердце колотится, как безумное."
dialogue:BRK_Outro (en-US):line:051788a,BRK_Outro (en-US),BRK_Outro (es),line:051788a,Headmaster,"Но мы справились! С возвращением, старый друг."
dialogue:BRK_Outro (en-US):line:0c2faf4,BRK_Outro (en-US),BRK_Outro (es),line:0c2faf4,Eel,"Я едва верю, что я здесь. Бывали дни, когда я думал, что больше никогда не увижу внешнего мира… а тем более Академию."
dialogue:BRK_Outro (en-US):line:0dcbe89,BRK_Outro (en-US),BRK_Outro (es),line:0dcbe89,Headmaster,"Ил... Я... Я хотел бы вытащить тебя раньше. Если бы я знал, что ты жив..."
dialogue:BRK_Outro (en-US):line:0db9eea,BRK_Outro (en-US),BRK_Outro (es),line:0db9eea,Eel,Ты не мог этого знать. Но это уже в прошлом. Главное — ты привёл меня домой.
dialogue:BRK_Outro (en-US):line:0f76b15,BRK_Outro (en-US),BRK_Outro (es),line:0f76b15,Headmaster,"Ну, я не один. Я привлёк помощь двух наших перспективных студентов. Благодаря им мы выбрались с того баржа живыми."
dialogue:BRK_Outro (en-US):line:04cfc45,BRK_Outro (en-US),BRK_Outro (es),line:04cfc45,Headmaster,"Ну, я не один. Я привлёк помощь одного из наших перспективных студентов. Благодаря ему мы выбрались с того баржа живыми."
dialogue:BRK_Outro (en-US):line:02a09d9,BRK_Outro (en-US),BRK_Outro (es),line:02a09d9,Eel,"Чёрт. Вам, наверное, очень нужны были дополнительные баллы, да?"
dialogue:BRK_Outro (en-US):line:07bc0b8,BRK_Outro (en-US),BRK_Outro (es),line:07bc0b8,Eel,"Чёрт, парень. Тебе, наверное, очень нужны были дополнительные баллы, да?"
dialogue:BRK_Outro (en-US):line:0b4ce3d,BRK_Outro (en-US),BRK_Outro (es),line:0b4ce3d,Eel,На сегодня приключений мне хватило. Пойду осмотрюсь.
dialogue:BRK_Outro (en-US):line:0fd225a,BRK_Outro (en-US),BRK_Outro (es),line:0fd225a,Headmaster,"Отличная работа. Я не мог выбрать лучших студентов, чтобы они прикрывали мне спину."
dialogue:BRK_Outro (en-US):line:084f713,BRK_Outro (en-US),BRK_Outro (es),line:084f713,Headmaster,"Отличная работа. Я не мог выбрать лучшего студента, чтобы он прикрывал мне спину."
dialogue:CutsceneNotIntegrated (en-US):CutsceneNotIntegrated-Start-0,CutsceneNotIntegrated (en-US),,CutsceneNotIntegrated-Start-0,God,Эта сценография ещё не интегрирована
dialogue:CutsceneNotIntegrated (en-US):CutsceneNotIntegrated-Start-1,CutsceneNotIntegrated (en-US),,CutsceneNotIntegrated-Start-1,God,"Пожалуйста, запросите её интеграцию"
dialogue:DIG_Intro (en-US):line:095044f,DIG_Intro (en-US),DIG_Intro (es),line:095044f,Coach,"Бламми! Ну что, раз уж я привлёк ваше внимание..."
dialogue:DIG_Intro (en-US):line:0376e21,DIG_Intro (en-US),DIG_Intro (es),line:0376e21,Coach,"Ладно!! Слушайте сюда, загадочники!"
dialogue:DIG_Intro (en-US):line:0a85673,DIG_Intro (en-US),DIG_Intro (es),line:0a85673,Coach,"Ладно, я тут не молодею — собираемся!"
dialogue:DIG_Intro (en-US):line:011f7f1,DIG_Intro (en-US),DIG_Intro (es),line:011f7f1,Coach,Сегодня большой день!! Время турнира!
dialogue:DIG_Intro (en-US):line:0997d64,DIG_Intro (en-US),DIG_Intro (es),line:0997d64,Coach,Собирайтесь вокруг Йоаха!
dialogue:DIG_Intro (en-US):line:040722c,DIG_Intro (en-US),DIG_Intro (es),line:040722c,Coach,Пора для предстартовой мотивации!
dialogue:DIG_Intro (en-US):line:06087df,DIG_Intro (en-US),DIG_Intro (es),line:06087df,Coach,"Собирайтесь, ребята!"
dialogue:DIG_Intro (en-US):line:0208733,DIG_Intro (en-US),DIG_Intro (es),line:0208733,Coach,Все замолчали! Я пытаюсь вас тренировать!
dialogue:DIG_Intro (en-US):line:09d2f2a,DIG_Intro (en-US),DIG_Intro (es),line:09d2f2a,Coach,"Пора показать, на что вы способны!"
